from,to,weight,year
SWM,Grüne,60000,1
SWM,Grüne,60000,2
SWM,Grüne,100000,3
SWM,Grüne,110000,4
JA,Grüne,50240,4
JW,Grüne,618956,5
SWM,Grüne,110000,5
VBM,Grüne,50000,5
SWM,Grüne,110000,6
VBM,Grüne,60000,6
FH,Grüne,101200,6
LP,Grüne,90800,6
JW,Grüne,201190,6
LP,Grüne,98500,6
SWM,Grüne,110000,7
VBM,Grüne,50001,7
VBL,Linke,60000,2
MZE,CDU,50000,6
KZE,CDU,50000,6
VHB,CDU,100000,6
VCI,CDU,167000,2
VCI,CDU,98000,3
VCI,CDU,73000,5
VCI,CDU,250000,6
TRG,CDU,67000,2
TRG,CDU,105000,4
TRG,CDU,75000,5
TRG,CDU,10000,6
SWM,CDU,90000,1
SWM,CDU,155000,2
SWM,CDU,150000,3
SWM,CDU,150500,4
SWM,CDU,150000,5
SWM,CDU,154739,6
SWM,CDU,150000,7
PSS,CDU,52000,2
PSS,CDU,112000,6
RBG,CDU,50000,2
RBG,CDU,50000,6
SQU,CDU,230000,2
SQU,CDU,50001,5
SQU,CDU,50001,6
SQU,CDU,125001,7
PJH,CDU,59000,6
DAO,CDU,104000,2
DAO,CDU,78000,5
DAO,CDU,118000,6
HGN,CDU,119499,2
HGN,CDU,109990,6
MNW,CDU,75000,1
MNW,CDU,130000,2
MNW,CDU,55000,3
MNW,CDU,60000,4
MNW,CDU,70000,5
MNW,CDU,135301,6
MNW,CDU,60000,7
MHG,CDU,50000,6
MAR,CDU,50000,6
MAG,CDU,87480,2
MAG,CDU,67000,6
AKL,CDU,111000,2
AKL,CDU,50000,6
LMS,CDU,50000,6
HJL,CDU,200000,2
HJL,CDU,140000,4
HJL,CDU,105000,5
HJL,CDU,420000,6
HJL,CDU,260000,7
ALA,CDU,190000,5
ALA,CDU,156500,6
KKO,CDU,64072,6
NKN,CDU,50000,6
DGK,CDU,70000,4
DGK,CDU,125000,6
SKL,CDU,230000,2
SKL,CDU,50001,5
SKL,CDU,50001,6
SKL,CDU,125001,7
CAK,CDU,78192,1
CAK,CDU,108230,2
CAK,CDU,104290,5
CAK,CDU,131290,6
JBG,CDU,163000,1
JBG,CDU,165000,2
JBG,CDU,100000,5
JBG,CDU,50000,6
HFG,CDU,51500,6
DMH,CDU,75000,2
DMH,CDU,75644,6
MHE,CDU,50000,6
HGR,CDU,84125,5
HGR,CDU,83535,6
KGR,CDU,109950,6
KGR,CDU,100000,7
WGL,CDU,86053,6
JHG,CDU,51000,6
GEA,CDU,50000,6
GYG,CDU,50000,6
EIA,CDU,70000,2
EIA,CDU,70000,3
EIA,CDU,90000,4
EIA,CDU,90000,5
EIA,CDU,80000,6
EIA,CDU,80000,7
SDR,CDU,50000,6
DTN,CDU,50000,1
DTN,CDU,70300,6
OEK,CDU,112000,1
OEK,CDU,78000,2
OEK,CDU,107000,3
