Name,ID
BMW (BMW Bayerische Motoren Werke AG),BMW
VBM (VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.),VBM
Verein der Bayerischen Chemischen Industrie e.V.,VBC
Daimler,MB
Deutsche Vermögensberatung AG DVAG,DV
"Joh. Berenberg, Gossler & Co. KG",JBG
METALL NRW – Verband der Metall- und Elektroindustrie Nordrhein-Westfalen e.V.,NVM
Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.,SVM
VCI Verband der Chemischen Industrie e.V.,VCI
"Kahl, Christoph Alexander",CAK
"Klatten, Susanne",SK
"Langmann, Hans-Joachim, Prof. Dr.",HJL
"Linsenhoff, Ann Kathrin",AKL
"Näder, Hans Georg, Prof. Dr.",HGN
"Oetker, Arend, Dr.",AO
"Quandt, Johanna",JQ
"Quandt, Stefan",SQ
