id,territory,category,Name
SWM,1,1,Südwestmetall Verband der Metall- und Elektroindustrie Baden-Württemberg e.V.
JA,3,2,"Allerheiligen, Jens"
JW,4,2,"Wermuth, Jochen"
FH,1,2,"Hansen, Frank"
LP,1,2,"Plank, Leo, Dr."
MZE,3,2,"Zech, Maja"
KZE,3,2,"Zech, Kurt"
VHB,4,1,VHB Grundstücksverwaltung und Beteiligung GmbH & Co. KG
PSS,2,2,"Schwarz-Schütte, Patrick"
RBG,1,1,Robert Bosch GmbH
SQU,2,2,"Quandt, Stefan"
PJH,2,1,Peter Jungen Holding GmbH
HGN,3,2,"Näder, Hans Georg, Prof. Dr."
MHG,2,1,Magnus Holding GmbH & Co. Kg
MAR,1,1,Marquardt GmbH
AKL,2,2,"Linsenhoff, Ann Kathrin"
LMS,2,1,Leifeld Metall Spinning AG
HJL,2,2,"Langmann, Hans-Joachim, Prof. Dr."
ALA,1,2,"Lapp, Andreas"
KKO,1,2,"Kögel, Karlheinz"
DGK,1,2,"Kofler, Georg, Dr."
CAK,2,2,"Kahl, Christoph Alexander"
JBG,3,1,"Joh. Berenberg, Gossler & Co. KG"
HFG,4,1,HitFox Group GmbH
DMH,1,2,"Herrenknecht, Martin, Dr."
MHE,3,2,"Herz, Michael"
HGR,2,2,"Grosspeter, Horst"
KGR,4,2,"Groth, Klaus"
WGL,2,2,"Globke, Werner"
JHG,2,2,"Goldbeck, Jan-Hendrik"
GEA,2,1,GERCHGROUP AG
DTN,2,1,Dr. Theiss Naturwaren GmbH
OEKA,2,1,Dr. August Oetker KG
JDO,2,2,"Dommermuth, Judith"
PDO,4,2,"Dommermuth, Phllip"
RDO,2,2,"Dommermuth, Ralph"
DAG,1,1,Daimler AG
CCG,4,1,CCG Commercial Coordination Germany GmbH
IBI,2,2,"Biermann, Ibeth"
AST,4,1,August Storck KG
DSW,1,1,Deutsche SiSi-Werke
HJN,4,2,Prof. Dr. Hans-Jürgen Naumann
FJR,2,2,Franz-Josef Rademacher
DBU,2,2,Dietmar Bücher
GBI,3,1,GB Immobilien GmbH
IKA,3,2,Ian Karan
KLA,2,2,Klaus Laepple
PLO,1,2,Peter Löscher
RPO,2,2,Prof. Dr. Reinfried Pohl
WST,2,2,Wolfgang Steubing
SAG,1,1,Südzucker AG
AHA,1,1,Anton Häring KG
KMK,1,2,Klaus-Michael Kühne
BRI,3,2,Bertram R.C. Rickmers
CDU,4,1,Christlich dem. Union 
VBM,1,1,VBM Verband der Bayerischen Metall- und Elektroindustrie e.V.
WID,1,1,WID Unternehmergesellschaft
CL,2,2,"Lindner, Christian"
RWI,2,1,R&W Industriebeteiligungen
WBPR,1,1,WBPR Kommunikation GmbH
HPS,1,2,"Stihl, Hans-Peter"
TS,1,2,"Sattelberger, Thomas"
VP,3,2,"Pausder, Verena"
RO,3,2,"Onnasch, Reinhard"
DKM,2,2,"Murjahn, Dr. Klaus"
MNW,2,1,METALL NRW Ğ Verband der Metall- und Elektroindustrie Nordrhein-Westfalen e.V.
AM,2,2,"Mecking, Alexander"
HV,3,1,Huskelapp Vermšgensverwaltungs GmbH
FKH,2,1,FKH Beteiligungs SE
LF,1,2,"Fischer, Leonhard"
DGAG,2,1,Droege Group AG
BD,1,2,"Bštticher, Dietrich von"
DA,3,2,"Ahlers, Dirk"
WIUL,1,1,Wohninvest Uni Leipzig GmbH
VNTB,3,1,Verband der Nordwestdeutschen Textil- und Bekleidungsindustrie e.V.
CK,0,2,"KŸhne, Christel"
SK,2,2,"Klatten, Susanne"
WII,1,1,Wohninvest GmbH Immobilien
HW,3,2,"Weisser, Hellmuth"
TRG,1,1,Trumpf GmbH + Co. KG
SAVA,3,1,Savarpa GmbH
DLM,2,2,"Helmig, Lutz, Dr."
JQU,2,2,"Quandt, Johanna"
HEAZ,1,1,Hermes Arzneimittel GmbH
HEEH,3,2,"Heineke, Heinrich Ernst Eugen"
BMW,1,1,BMW Bayerische Motoren Werke AG
MVZ,1,2,"Zitzewitz, Mortimer, von"
MZL,2,2,"Zubrzycki-Lederhausen, Marianne"
KN,2,2,"Nordmann, Klaus, Dr."
WB,1,1,Wahl-Bau GmbH
EE,3,2,"Edler, Erika"
FE,3,2,"Edler, Folkard, Dr."
FDP,4,1,Freie Demokraten
AFD,4,1,Alternative für Deutschland
LINK,4,1,Die Linken
GRUN,4,1,Bündnis 90 Die Grünen
VBL,4,1,Verband Bundestagsfraktion die Linke
NKN,1,2,"Knauf, Nikolaus"
